,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2011-09-30,1.22950,0.37440,0.60420,34.70530,11.78360,11.78360,11.39190,7.60000,0.41900,16.08340,16.08340,3.18420,10.06200,1.05670,0.1317,0.0943
2011-06-30,1.33400,0.41090,0.70410,37.86820,14.59710,14.59710,14.05310,8.64990,0.50210,20.42130,20.42130,4.34290,12.03030,0.90830,0.2309,0.2077
2011-03-31,1.47170,0.45860,0.85490,39.02320,14.22860,14.22860,13.67190,8.38250,0.65910,21.84560,21.84560,5.52500,11.82700,0.75000,0.30630,0.26340
2010-12-31,1.63990,0.40800,0.68930,34.42260,13.16500,13.16500,12.51150,7.90290,0.60680,16.23050,16.23050,4.79550,9.60800,0.78530,0.2511,0.2135
2010-09-30,1.57720,0.55000,1.23290,37.73370,12.56300,12.56300,11.82340,6.86290,0.71820,19.77710,19.77710,4.92900,8.89920,0.52480,0.1145,0.0949
2010-06-30,1.70900,0.57110,1.34260,39.41470,14.87860,14.87860,14.11450,8.37200,0.74900,24.63710,24.63710,6.27100,10.56740,0.48200,0.1601,0.145
2010-03-31,1.55900,0.61630,1.61940,37.77930,11.81880,11.81880,11.01110,6.53720,0.76150,21.99340,21.99340,4.97800,8.43850,0.40110,0.20140,0.18470
2009-12-31,1.80720,0.54300,1.19500,38.02930,12.00090,12.00090,11.54810,6.95390,0.65400,15.52300,15.52300,4.54780,7.09480,0.53240,0.2543,0.1999
2009-09-30,1.15450,0.13730,0.16490,34.94190,11.66030,11.66030,11.92830,7.12350,0.85980,12.98050,12.98050,6.12460,11.19890,0.60710,0.2031,0.1776
2009-06-30,1.62210,0.10310,0.11890,34.09130,12.92070,12.92070,12.96770,7.94180,0.69010,10.00180,10.00180,5.48030,8.97030,0.80710,0.1831,0.1661
2009-03-31,1.60940,0.09810,0.11220,34.21230,9.25430,9.25430,9.49280,5.67450,0.62690,6.45750,6.45750,3.55710,5.82420,0.84580,0.15440,0.13900
