,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2012-03-31,14.661,10.591,1.368,11.959,-60.391,1.552,-6.052,4.538,-99.668,-73.048,-8.839,0,0,0,0,-0.198,-9.037,-1.943,-1.943,6.868,6.868,9.5,14.425,-68.332,6.418
2011-12-31,-64.367,-25.968,-13.95,-39.918,135.405,106.849,-18.848,23.358,230.369,126.084,68.133,0,0,3.7,3.7,6.04,77.873,-55.018,-55.018,-10.32,-10.32,-4.633,-69.971,136.011,-13.592
2011-09-30,45.987,9.238,13.402,22.64,-104.467,-11.047,-13.94,-15.66,-111.038,-42.411,-37.95,0,0,0.24,0.24,-4.887,-42.597,34.104,34.104,1.264,1.264,-0.065,35.303,-51.825,6.458
2011-06-30,18.38000,16.73000,0.54800,17.27800,-30.93800,-95.80200,32.78800,-7.69800,-119.33100,-83.67300,-30.18300,,,-3.94000,-3.94000,-1.15300,-35.27600,20.91400,20.91400,9.05600,9.05600,4.69800,34.66800,-84.18600,7.13400
2011-03-31,12.139,8.613,-1.308,7.305,-56.566,-33.379,3.563,-1.86,-104.941,-85.497,-10.846,0,0,-3.852,-3.852,-1.153,-15.851,-2.298,-2.298,6.826,6.826,3.775,8.303,-93.026,3.315
2010-12-31,-45.529,-23.191,-5.024,-28.215,99.502,44.583,-21.604,5.494,105.651,31.907,22.533,0,0,0,0,0.325,22.858,1.681,1.681,-3.796,-3.796,-2.594,-4.709,53.361,-10.046
2010-09-30,34.857,7.842,-4.65,3.192,-77.004,-12.499,8.027,-5.279,-57.631,-19.582,-7.324,0,0,0,0,0,-7.324,2.95,2.95,1.486,1.486,1.149,5.585,-22.153,3.778
2010-06-30,10.67200,15.34900,9.67400,25.02300,-22.49800,-32.08400,13.57700,-0.21500,-48.02000,-12.32500,-15.20900,,,,,-0.32500,-15.53400,-4.63100,-4.63100,2.31000,2.31000,1.44500,-0.87600,-31.20800,6.26800
2010-03-31,7.17,7.597,1.611,9.208,-34.566,1.7,-0.086,4.049,-28.154,-11.776,-7.154,0,0,0,0,-0.325,-7.479,-2.308,-2.308,0.889,0.889,0.716,-0.703,-21.335,3.336
2009-12-31,-31.583,-20.795,1.992,-18.803,57.728,-28.433,13.885,-0.371,24.729,-25.657,16.049,0,0,0,0,0.035,16.084,27.314,27.314,-4.331,-4.331,-2.912,20.071,8.666,-7.76
2009-09-30,26.182,7.262,0.452,7.714,-55.352,28.131,-11.022,-2.979,-15.541,18.355,-4.485,0,0,0,0,-0.03,-4.515,-2.056,-2.056,1.31,1.31,0.949,0.203,13.834,2.488
2009-06-30,5.40100,13.53300,-2.44400,11.08900,-2.37600,0.30200,-2.86300,3.35000,-9.18800,7.30200,-11.56400,,,,,-0.00500,-11.56900,-25.25800,-25.25800,3.02100,3.02100,1.96300,-20.27400,-22.50000,5.27200
2009-03-31,3.962,6.832,0.747,7.579,-23.32,16.718,-10.34,3.9,-13.334,-1.793,-8.063,0,0,0,0,0,-8.063,-26.938,-26.938,0.692,0.692,-1.153,-27.399,-36.47,2.657
